Continente;Paises;Numero de Medicos;dateRep;day;month;year;cases;deaths
Asia;Afghanistan;9880;29/9/2020;29;9;2020;12;3
Asia;Afghanistan;9880;28/9/2020;28;9;2020;0;0
Asia;Afghanistan;9880;27/9/2020;27;9;2020;35;0
Asia;Afghanistan;9880;26/9/2020;26;9;2020;6;2
Asia;Afghanistan;9880;25/9/2020;25;9;2020;16;0
Asia;Afghanistan;9880;24/9/2020;24;9;2020;25;5
Asia;Afghanistan;9880;23/9/2020;23;9;2020;71;2
Asia;Afghanistan;9880;22/9/2020;22;9;2020;30;3
Asia;Afghanistan;9880;21/9/2020;21;9;2020;0;0
Asia;Afghanistan;9880;20/9/2020;20;9;2020;125;4
Asia;Afghanistan;9880;19/9/2020;19;9;2020;47;1
Asia;Afghanistan;9880;18/9/2020;18;9;2020;0;0
Asia;Afghanistan;9880;17/9/2020;17;9;2020;17;0
Asia;Afghanistan;9880;16/9/2020;16;9;2020;40;10
Asia;Afghanistan;9880;15/9/2020;15;9;2020;99;6
Asia;Afghanistan;9880;14/9/2020;14;9;2020;75;0
Asia;Afghanistan;9880;13/9/2020;13;9;2020;35;0
Asia;Afghanistan;9880;12/9/2020;12;9;2020;34;0
Asia;Afghanistan;9880;11/9/2020;11;9;2020;28;0
Asia;Afghanistan;9880;10/9/2020;10;9;2020;24;2
Asia;Afghanistan;9880;9/9/2020;9;9;2020;26;3
Asia;Afghanistan;9880;8/9/2020;8;9;2020;96;3
Asia;Afghanistan;9880;7/9/2020;7;9;2020;74;2
Asia;Afghanistan;9880;6/9/2020;6;9;2020;20;0
Asia;Afghanistan;9880;5/9/2020;5;9;2020;16;0
Asia;Afghanistan;9880;4/9/2020;4;9;2020;45;1
Asia;Afghanistan;9880;3/9/2020;3;9;2020;38;3
Asia;Afghanistan;9880;2/9/2020;2;9;2020;9;0
Asia;Afghanistan;9880;1/9/2020;1;9;2020;34;4
Asia;Afghanistan;9880;31/8/2020;31;8;2020;19;0
Asia;Afghanistan;9880;30/8/2020;30;8;2020;3;0
Asia;Afghanistan;9880;29/8/2020;29;8;2020;11;1
Asia;Afghanistan;9880;28/8/2020;28;8;2020;3;0
Asia;Afghanistan;9880;27/8/2020;27;8;2020;55;4
Asia;Afghanistan;9880;26/8/2020;26;8;2020;1;0
Asia;Afghanistan;9880;25/8/2020;25;8;2020;71;10
Asia;Afghanistan;9880;24/8/2020;24;8;2020;0;0
Asia;Afghanistan;9880;23/8/2020;23;8;2020;105;2
Asia;Afghanistan;9880;22/8/2020;22;8;2020;38;0
Asia;Afghanistan;9880;21/8/2020;21;8;2020;97;2
Asia;Afghanistan;9880;20/8/2020;20;8;2020;160;8
Asia;Afghanistan;9880;19/8/2020;19;8;2020;0;0
Asia;Afghanistan;9880;18/8/2020;18;8;2020;3;0
Asia;Afghanistan;9880;17/8/2020;17;8;2020;45;5
Asia;Afghanistan;9880;16/8/2020;16;8;2020;120;7
Asia;Afghanistan;9880;15/8/2020;15;8;2020;7;0
Asia;Afghanistan;9880;14/8/2020;14;8;2020;79;9
Asia;Afghanistan;9880;13/8/2020;13;8;2020;76;10
Asia;Afghanistan;9880;12/8/2020;12;8;2020;215;32
Asia;Afghanistan;9880;11/8/2020;11;8;2020;0;0
Asia;Afghanistan;9880;10/8/2020;10;8;2020;0;0
Asia;Afghanistan;9880;9/8/2020;9;8;2020;39;5
Asia;Afghanistan;9880;8/8/2020;8;8;2020;78;9
Asia;Afghanistan;9880;7/8/2020;7;8;2020;41;0
Asia;Afghanistan;9880;6/8/2020;6;8;2020;67;4
Asia;Afghanistan;9880;5/8/2020;5;8;2020;82;6
Asia;Afghanistan;9880;4/8/2020;4;8;2020;37;4
Asia;Afghanistan;9880;3/8/2020;3;8;2020;0;1
Asia;Afghanistan;9880;2/8/2020;2;8;2020;0;0
Asia;Afghanistan;9880;1/8/2020;1;8;2020;168;12
Asia;Afghanistan;9880;31/7/2020;31;7;2020;71;0
Asia;Afghanistan;9880;30/7/2020;30;7;2020;0;0
Asia;Afghanistan;9880;29/7/2020;29;7;2020;103;1
Asia;Afghanistan;9880;28/7/2020;28;7;2020;105;1
Asia;Afghanistan;9880;27/7/2020;27;7;2020;106;10
Asia;Afghanistan;9880;26/7/2020;26;7;2020;121;13
Asia;Afghanistan;9880;25/7/2020;25;7;2020;108;35
Asia;Afghanistan;9880;24/7/2020;24;7;2020;13;0
Asia;Afghanistan;9880;23/7/2020;23;7;2020;188;21
Asia;Afghanistan;9880;22/7/2020;22;7;2020;112;4
Asia;Afghanistan;9880;21/7/2020;21;7;2020;140;5
Asia;Afghanistan;9880;20/7/2020;20;7;2020;174;17
Asia;Afghanistan;9880;19/7/2020;19;7;2020;12;17
Asia;Afghanistan;9880;18/7/2020;18;7;2020;219;32
Asia;Afghanistan;9880;17/7/2020;17;7;2020;76;21
Asia;Afghanistan;9880;16/7/2020;16;7;2020;254;49
Asia;Afghanistan;9880;15/7/2020;15;7;2020;285;33
Asia;Afghanistan;9880;14/7/2020;14;7;2020;4;2
Asia;Afghanistan;9880;13/7/2020;13;7;2020;0;0
